"idhod","hodnota","stapro_kod","ekakocd_cis","ekakocd_kod","pvdom_cis","pvdom_kod","rok","uzemi_cis","uzemi_kod","stapro_txt","ekakocd_txt","pvdom_txt"
"1433386255","12436","6008",,,"214","12","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Domácnosti celkem","Daň z příjmů fyzických osob"
"1433384749","10823","6008",,,"214","13","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Domácnosti celkem","Zdravotní a sociální pojištění"
"1433381188","14164","6008","221","11","213","14","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Ostatní domácnosti","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433385612","2228","6008","220","14","214","12","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Důchodci","Daň z příjmů fyzických osob"
"1433377875","89633","6008","221","11",,,"2010","97","19","Průměrné hrubé peněžní příjmy domácností","Ostatní domácnosti",
"1433379706","182316","6008","221","6",,,"2010","97","19","Průměrné hrubé peněžní příjmy domácností","Zaměstnanci",
"1433391920","19435","6008","220","14","213","14","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Důchodci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433389504","16864","6008","221","6","214","13","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Zaměstnanci","Zdravotní a sociální pojištění"
"1433373249","183740","6008","221","5",,,"2010","97","19","Průměrné hrubé peněžní příjmy domácností","Samostatně činní",
"1433385573","4425","6008","221","5","214","13","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Samostatně činní","Zdravotní a sociální pojištění"
"1433385758","426","6008",,,"213","19","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Domácnosti celkem","Bonus daňového zvýhodnění na děti"
"1433390170","15700","6008","221","6","214","12","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Zaměstnanci","Daň z příjmů fyzických osob"
"1433383375","2487","6008","221","11","214","12","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Ostatní domácnosti","Daň z příjmů fyzických osob"
"1433383154","3711","6008","221","4","214","12","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Nezaměstnaní","Daň z příjmů fyzických osob"
"1433387473","153314","6008","221","6","213","14","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Zaměstnanci","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433386347","1858","6008","221","11","214","13","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Ostatní domácnosti","Zdravotní a sociální pojištění"
"1433369453","84503","6008","221","4",,,"2010","97","19","Průměrné hrubé peněžní příjmy domácností","Nezaměstnaní",
"1433384880","764","6008","221","5","213","19","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Samostatně činní","Bonus daňového zvýhodnění na děti"
"1433385965","98000","6008",,,"213","14","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Domácnosti celkem","Příjmy ze závislé činnosti (hlavní zaměstnání)"
"1433380084","18779","6008","221","5","214","12","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Samostatně činní","Daň z příjmů fyzických osob"
"1433391822","4225","6008","221","4","214","13","2010","97","19","Průměrné hrubé peněžní příjmy domácností","Nezaměstnaní","Zdravotní a sociální pojištění"
"1433379041","167429","6008",,,,,"2010","97","19","Průměrné hrubé peněžní příjmy domácností","Domácnosti celkem",
